age,home_country,destination_country,education,employment,monthly_income,travel_purpose,travel_history,criminal_record,english_level,visa_approved
26,India,Germany,HighSchool,Employed,25975,Study,1,0,Low,0
27,India,Germany,HighSchool,Unemployed,62073,Tourist,2,0,Low,0
42,Nigeria,USA,Masters,Employed,55228,Tourist,0,0,Medium,1
42,Brazil,UK,HighSchool,Employed,24846,Study,1,0,High,0
30,India,USA,HighSchool,Employed,60483,Study,0,0,Low,0
40,India,Germany,Masters,Employed,56709,Work,3,0,High,1
40,Brazil,USA,Masters,Unemployed,43432,Work,2,0,Medium,0
28,India,Germany,HighSchool,Employed,19555,Business,0,0,Medium,0
40,Philippines,UK,Masters,Unemployed,91995,Study,3,0,High,1
27,Nigeria,Australia,Masters,Employed,5803,Tourist,1,0,Low,0
46,Philippines,Canada,HighSchool,Employed,85580,Business,2,0,High,1
28,Mexico,Germany,Masters,Employed,91349,Study,0,0,High,1
49,Brazil,Australia,Bachelors,Unemployed,53747,Study,1,0,Low,0
43,Mexico,USA,Masters,Unemployed,65659,Study,2,1,Low,0
24,Mexico,Germany,Bachelors,Employed,95800,Tourist,1,0,Low,1
45,Philippines,Germany,HighSchool,Unemployed,22706,Business,1,1,High,0
32,Nigeria,USA,Masters,Employed,61504,Study,3,0,High,1
27,Philippines,Germany,Bachelors,Employed,54525,Tourist,0,0,Low,0
38,Nigeria,Australia,HighSchool,Employed,90232,Tourist,3,0,Medium,1
19,Brazil,Australia,Masters,Employed,90989,Study,3,1,Medium,0
45,Mexico,Canada,Masters,Unemployed,77484,Tourist,3,1,Low,0
33,Nigeria,UK,Masters,Employed,75750,Tourist,0,0,High,1
45,India,Germany,HighSchool,Unemployed,25430,Tourist,3,0,High,0
20,Brazil,Germany,Masters,Employed,31627,Tourist,3,0,High,1
42,Brazil,Germany,Masters,Unemployed,24708,Business,3,0,High,1
30,Brazil,Australia,HighSchool,Unemployed,26923,Business,0,0,Low,0
44,Philippines,Germany,Masters,Unemployed,74799,Business,0,0,High,1
37,Mexico,Germany,HighSchool,Unemployed,27339,Study,1,0,Low,0
41,Mexico,Australia,HighSchool,Employed,32566,Business,0,0,High,0
20,India,UK,Masters,Employed,67430,Work,1,0,Medium,1
29,Philippines,Germany,HighSchool,Unemployed,47013,Tourist,3,1,Low,0
26,Mexico,Australia,Bachelors,Unemployed,89234,Tourist,3,0,Medium,1
46,Mexico,Australia,Masters,Employed,95397,Work,1,0,Medium,1
26,India,Australia,HighSchool,Employed,76901,Tourist,1,0,High,1
23,Philippines,USA,Bachelors,Unemployed,73989,Work,1,0,Low,0
24,Brazil,Germany,HighSchool,Employed,89451,Business,3,0,Medium,1
18,Mexico,Canada,Bachelors,Unemployed,50683,Business,0,0,Medium,0
39,Brazil,Canada,Masters,Unemployed,19117,Business,0,0,Medium,0
35,Nigeria,USA,Masters,Employed,68005,Tourist,3,0,Medium,1
33,Philippines,Canada,Bachelors,Unemployed,39939,Business,2,0,Medium,0
29,Philippines,Germany,HighSchool,Employed,89607,Work,3,0,High,1
24,India,Germany,HighSchool,Employed,70173,Study,1,0,Medium,1
31,Nigeria,Germany,HighSchool,Employed,89982,Study,3,0,Low,1
32,India,UK,Masters,Employed,6848,Study,1,0,Medium,0
40,Nigeria,USA,Masters,Unemployed,56536,Study,3,0,High,1
34,India,Germany,Bachelors,Employed,93179,Tourist,3,0,High,1
37,India,Germany,Masters,Unemployed,19170,Business,0,0,Medium,0
37,Nigeria,Germany,HighSchool,Unemployed,23829,Work,2,0,Medium,0
21,Brazil,UK,HighSchool,Unemployed,49086,Work,0,0,Medium,0
47,Philippines,USA,Masters,Unemployed,49723,Work,1,0,High,0
26,India,Germany,HighSchool,Unemployed,64650,Study,3,0,Low,0
49,Mexico,Germany,Bachelors,Unemployed,10620,Study,1,0,High,0
36,Mexico,Australia,Masters,Unemployed,55557,Work,0,0,Low,0
29,India,USA,Masters,Unemployed,13642,Tourist,1,0,High,0
19,Nigeria,USA,HighSchool,Employed,24787,Tourist,0,0,High,0
22,Brazil,Canada,Bachelors,Unemployed,75886,Business,0,0,High,0
28,Nigeria,Australia,HighSchool,Employed,10033,Business,0,0,Medium,0
19,Philippines,Australia,Bachelors,Employed,94906,Work,0,0,High,1
21,Mexico,Australia,Masters,Unemployed,80488,Work,2,0,Medium,1
36,Philippines,Canada,Bachelors,Employed,64912,Work,2,0,Low,1
20,Brazil,Australia,HighSchool,Unemployed,17554,Business,1,0,Medium,0
38,Brazil,Canada,HighSchool,Unemployed,86207,Study,0,0,Medium,0
24,Mexico,Australia,Masters,Employed,5527,Study,0,1,High,0
37,Mexico,USA,Bachelors,Unemployed,12475,Tourist,1,0,Low,0
41,Nigeria,Australia,Masters,Unemployed,62760,Work,0,1,Medium,0
34,Philippines,USA,Masters,Employed,96360,Work,3,0,High,1
45,Brazil,Canada,Masters,Employed,18283,Business,0,1,Low,0
41,Mexico,Australia,Masters,Unemployed,29183,Tourist,1,0,High,0
34,Nigeria,USA,Masters,Unemployed,96338,Study,0,0,Medium,0
39,Brazil,Australia,Bachelors,Employed,89702,Study,0,0,Low,0
21,Philippines,Canada,Bachelors,Unemployed,89460,Business,2,0,High,1
30,India,Canada,HighSchool,Unemployed,33089,Tourist,3,1,High,0
20,Philippines,USA,Masters,Unemployed,38017,Business,1,0,Medium,0
33,Brazil,USA,HighSchool,Unemployed,38844,Study,0,0,Medium,0
40,Nigeria,Germany,Bachelors,Unemployed,33495,Study,2,0,Medium,0
32,India,Australia,HighSchool,Unemployed,30632,Work,0,0,High,0
35,Nigeria,Canada,Masters,Unemployed,8184,Study,3,0,Low,0
40,India,Germany,Bachelors,Employed,10181,Work,3,0,Medium,1
49,Brazil,Canada,HighSchool,Employed,88323,Business,3,0,High,1
46,India,Canada,Masters,Unemployed,85978,Study,1,0,High,1
26,India,Canada,HighSchool,Employed,49749,Study,1,0,Low,0
28,Philippines,USA,HighSchool,Unemployed,35212,Study,0,0,High,0
18,Brazil,UK,Bachelors,Employed,47610,Business,0,0,High,0
31,Brazil,Australia,HighSchool,Employed,91912,Study,2,0,Medium,1
36,Brazil,UK,Masters,Employed,48774,Work,3,0,High,1
27,India,Canada,Bachelors,Employed,33649,Business,3,0,Low,1
27,Brazil,UK,Bachelors,Employed,53639,Tourist,2,1,Medium,0
26,Brazil,UK,HighSchool,Unemployed,82080,Business,0,0,Low,0
35,Philippines,Germany,Bachelors,Unemployed,94867,Work,3,0,High,1
48,Philippines,Germany,Bachelors,Unemployed,72951,Business,0,0,Medium,0
31,Brazil,Germany,Masters,Unemployed,7011,Business,3,0,Medium,0
38,Brazil,UK,Masters,Unemployed,72383,Business,0,0,Medium,0
21,Brazil,Germany,Bachelors,Employed,53749,Study,2,0,Low,1
42,Mexico,Australia,Masters,Employed,33938,Tourist,3,0,High,1
32,Nigeria,UK,HighSchool,Employed,83463,Tourist,3,0,Low,1
40,India,Canada,Masters,Employed,68476,Tourist,1,0,Medium,1
48,India,Canada,Masters,Unemployed,66076,Business,1,0,Low,0
46,India,Canada,Masters,Unemployed,85070,Tourist,0,0,Low,0
35,Philippines,Canada,Masters,Employed,61000,Business,2,0,Medium,1
23,Philippines,Germany,Masters,Employed,11125,Work,2,0,Medium,1
38,Brazil,USA,Bachelors,Employed,47241,Tourist,0,0,Medium,0
29,Mexico,UK,Masters,Unemployed,72421,Tourist,0,0,Low,0
43,Brazil,UK,Bachelors,Employed,94112,Study,3,0,Low,1
49,India,USA,Bachelors,Unemployed,75802,Tourist,0,0,High,0
47,Brazil,UK,Bachelors,Employed,97016,Business,1,0,High,1
32,Mexico,UK,HighSchool,Employed,81574,Business,2,0,Medium,1
33,Philippines,Germany,Bachelors,Employed,37597,Tourist,3,1,High,0
25,India,Canada,Bachelors,Unemployed,93919,Work,3,1,High,0
44,Brazil,Australia,Masters,Unemployed,86749,Business,1,0,Medium,0
37,Nigeria,Australia,HighSchool,Employed,72214,Business,0,0,Medium,0
42,Brazil,Australia,HighSchool,Unemployed,38521,Study,3,0,Low,0
39,Brazil,Germany,Masters,Employed,63973,Work,3,0,Medium,1
40,Mexico,Germany,Bachelors,Employed,78224,Study,3,0,Low,1
33,India,USA,Masters,Employed,23681,Work,2,0,Low,0
30,Nigeria,UK,Masters,Unemployed,60437,Study,1,0,Medium,0
33,Philippines,UK,Masters,Employed,86362,Work,1,0,High,1
46,Nigeria,Canada,HighSchool,Unemployed,63916,Study,0,0,Medium,0
38,Brazil,Germany,HighSchool,Unemployed,17756,Work,3,0,Medium,0
21,Mexico,Germany,HighSchool,Employed,22735,Work,2,0,High,1
35,India,Australia,Bachelors,Unemployed,75168,Work,1,0,Low,0
20,Nigeria,USA,HighSchool,Unemployed,47081,Work,3,0,Medium,0
18,Philippines,Australia,HighSchool,Unemployed,13545,Study,1,0,Low,0
36,India,USA,Bachelors,Unemployed,6013,Tourist,1,0,Low,0
25,Mexico,UK,HighSchool,Employed,21286,Work,3,0,Low,0
22,Brazil,Canada,Masters,Employed,22369,Study,0,0,Medium,0
30,India,USA,Masters,Unemployed,31786,Business,2,0,Low,0
20,Mexico,UK,Masters,Unemployed,6609,Tourist,1,0,Medium,0
35,India,UK,Masters,Unemployed,69838,Work,2,0,Medium,1
41,Philippines,Australia,HighSchool,Employed,81682,Work,2,0,Medium,1
25,India,Germany,HighSchool,Employed,87603,Work,0,0,Medium,0
23,Brazil,Germany,Bachelors,Employed,66352,Tourist,0,0,High,1
27,Nigeria,UK,Bachelors,Unemployed,29712,Work,0,0,High,0
23,India,Australia,Masters,Unemployed,10139,Work,0,0,Medium,0
27,Mexico,USA,HighSchool,Employed,25318,Tourist,2,0,Low,0
38,Brazil,USA,Masters,Unemployed,39803,Study,2,0,Low,0
46,Mexico,UK,Bachelors,Employed,47988,Tourist,0,0,Medium,0
39,Nigeria,USA,HighSchool,Employed,75799,Work,0,0,High,0
24,Mexico,Germany,Masters,Unemployed,67901,Tourist,3,0,Medium,1
38,Nigeria,Germany,Bachelors,Unemployed,11002,Work,3,0,Low,0
22,India,Canada,Masters,Unemployed,95657,Study,1,0,High,1
33,Mexico,UK,Masters,Employed,54689,Work,1,0,Medium,1
28,Brazil,Germany,Masters,Employed,16895,Work,1,0,Medium,1
25,Philippines,Canada,HighSchool,Employed,6661,Work,2,0,High,0
25,Mexico,USA,Bachelors,Employed,19691,Tourist,3,0,Medium,1
18,India,Canada,HighSchool,Unemployed,15444,Business,1,1,Low,0
21,Brazil,Germany,Masters,Employed,72910,Business,1,0,Medium,1
37,Philippines,Australia,HighSchool,Unemployed,97951,Work,0,0,High,0
41,Brazil,Australia,HighSchool,Employed,28415,Tourist,3,0,High,1
24,Mexico,USA,HighSchool,Unemployed,66461,Business,3,0,Low,0
24,Brazil,Australia,Masters,Unemployed,53140,Tourist,0,0,Medium,0
26,Philippines,Canada,Masters,Employed,78302,Work,2,0,Low,1
42,Mexico,UK,HighSchool,Unemployed,38802,Study,0,0,Low,0
28,Mexico,Germany,Bachelors,Employed,31993,Work,2,0,Medium,1
28,Mexico,UK,Masters,Unemployed,57023,Work,2,0,High,1
49,Philippines,Australia,Bachelors,Employed,43706,Business,1,0,High,1
18,Mexico,Australia,Bachelors,Unemployed,12902,Business,0,1,Medium,0
18,Mexico,Germany,Masters,Employed,60435,Business,2,1,High,0
27,Nigeria,Germany,HighSchool,Employed,36421,Business,0,0,Low,0
44,India,Canada,HighSchool,Unemployed,89529,Business,1,0,Medium,0
39,Nigeria,USA,Masters,Employed,76109,Study,1,0,Medium,1
31,Philippines,UK,HighSchool,Unemployed,63802,Business,0,0,Medium,0
25,Nigeria,Germany,HighSchool,Employed,47700,Work,0,1,Low,0
35,Mexico,Germany,Bachelors,Unemployed,97829,Study,0,0,Medium,0
46,Philippines,UK,Masters,Employed,85751,Work,2,0,High,1
44,Brazil,Canada,Bachelors,Employed,55812,Work,1,0,High,1
40,India,UK,Masters,Unemployed,59725,Business,0,0,High,0
43,Brazil,Australia,Bachelors,Employed,30039,Work,2,0,High,1
23,Philippines,Australia,Masters,Employed,80426,Work,2,0,High,1
46,Philippines,Australia,Bachelors,Employed,75203,Work,2,1,Medium,0
42,Philippines,UK,Masters,Employed,22964,Work,1,0,High,1
44,Nigeria,Canada,Bachelors,Unemployed,60006,Tourist,0,0,Medium,0
30,Brazil,Germany,HighSchool,Unemployed,70871,Business,2,0,Medium,0
31,Philippines,Canada,HighSchool,Employed,68199,Tourist,0,0,Medium,0
18,India,Canada,Bachelors,Unemployed,94888,Study,0,0,Low,0
39,Nigeria,Australia,Bachelors,Employed,11767,Business,1,1,Low,0
36,Brazil,Australia,Masters,Employed,28089,Business,2,0,High,1
24,Nigeria,Canada,Masters,Employed,36032,Tourist,2,0,High,1
29,Nigeria,USA,HighSchool,Employed,53473,Tourist,3,0,Low,1
27,Brazil,Canada,Bachelors,Employed,33215,Work,2,0,Low,1
38,Philippines,USA,Bachelors,Unemployed,9631,Study,0,0,Low,0
18,Mexico,Australia,HighSchool,Employed,78878,Tourist,1,1,High,0
24,Brazil,UK,Masters,Employed,29913,Work,1,0,Low,0
39,Philippines,USA,Masters,Employed,14508,Work,0,0,Low,0
48,India,UK,Bachelors,Unemployed,57744,Business,1,0,High,0
43,Nigeria,UK,Bachelors,Unemployed,10681,Study,2,0,Medium,0
29,India,Germany,Bachelors,Unemployed,92068,Tourist,1,0,Medium,0
24,Mexico,Australia,Bachelors,Employed,53954,Work,3,0,Medium,1
32,Mexico,Germany,Bachelors,Unemployed,35599,Tourist,3,0,Medium,1
40,Mexico,Canada,Masters,Employed,60208,Tourist,0,0,Low,1
26,Nigeria,UK,HighSchool,Employed,61158,Tourist,1,0,Low,0
23,Philippines,UK,Bachelors,Employed,18479,Tourist,1,0,High,0
18,Nigeria,Canada,Masters,Employed,43219,Work,1,0,High,1
32,Brazil,UK,Masters,Unemployed,76336,Business,3,0,Medium,1
24,Mexico,UK,HighSchool,Employed,27093,Study,1,0,Medium,0
37,Philippines,UK,Bachelors,Unemployed,25987,Work,2,0,Medium,0
48,Nigeria,USA,Masters,Unemployed,19554,Study,2,1,Low,0
21,Philippines,UK,HighSchool,Unemployed,94246,Tourist,3,0,Medium,0
46,Brazil,Germany,Masters,Unemployed,38058,Study,0,0,High,0
27,Nigeria,Germany,HighSchool,Unemployed,60232,Work,0,1,Medium,0
42,Nigeria,Germany,Bachelors,Employed,58100,Study,2,1,Medium,0
45,Philippines,UK,Masters,Unemployed,83649,Business,2,0,High,1
37,Mexico,Australia,Masters,Employed,92360,Tourist,3,0,Medium,1
42,India,Germany,HighSchool,Employed,80745,Tourist,0,0,Low,0
43,Philippines,USA,Bachelors,Unemployed,21842,Tourist,1,0,Medium,0
34,India,Canada,Masters,Employed,48866,Work,1,0,High,1
28,Nigeria,UK,HighSchool,Unemployed,11904,Study,3,0,High,0
26,Mexico,Canada,HighSchool,Unemployed,92720,Tourist,2,0,Low,0
31,Philippines,Canada,Masters,Employed,85945,Study,0,0,High,1
47,Nigeria,Australia,Bachelors,Unemployed,14172,Tourist,1,0,High,0
18,India,Germany,Bachelors,Unemployed,66689,Work,2,0,Medium,1
40,India,USA,Bachelors,Unemployed,50659,Business,2,0,Medium,0
37,India,USA,HighSchool,Employed,28378,Work,0,0,Medium,0
45,India,Germany,HighSchool,Employed,24064,Business,3,0,Medium,1
40,India,USA,Masters,Employed,59425,Work,3,0,Low,1
47,Mexico,USA,HighSchool,Employed,44889,Business,1,0,Low,0
43,Mexico,Canada,Masters,Employed,31929,Tourist,1,0,Low,1
26,Nigeria,Germany,Bachelors,Employed,54922,Tourist,1,0,High,1
38,Philippines,Canada,Bachelors,Unemployed,20284,Business,2,0,High,0
46,Philippines,UK,HighSchool,Employed,30482,Business,3,0,Medium,1
46,India,USA,Bachelors,Unemployed,80475,Business,0,0,Medium,0
49,Philippines,Germany,HighSchool,Employed,44625,Tourist,1,0,Low,0
46,India,Canada,Masters,Unemployed,44801,Tourist,1,0,Medium,0
23,Nigeria,UK,Bachelors,Employed,60813,Study,1,0,High,1
32,India,Germany,Masters,Employed,69436,Work,1,0,High,1
28,Mexico,Canada,Bachelors,Employed,54816,Business,0,0,Medium,1
30,Philippines,UK,HighSchool,Employed,39072,Work,1,1,High,0
43,Mexico,Canada,HighSchool,Unemployed,46681,Tourist,3,0,Low,0
33,Brazil,Australia,Masters,Unemployed,6262,Tourist,2,0,High,0
49,Mexico,USA,Masters,Unemployed,85293,Tourist,3,0,High,1
38,Brazil,UK,HighSchool,Unemployed,13973,Tourist,0,0,Low,0
39,Nigeria,UK,Bachelors,Unemployed,72543,Tourist,2,0,High,1
41,Philippines,Australia,HighSchool,Unemployed,79855,Business,0,0,High,0
33,Philippines,USA,Bachelors,Employed,50921,Work,1,0,Low,0
43,Philippines,Canada,Masters,Employed,20635,Business,0,0,High,1
49,Nigeria,Australia,HighSchool,Employed,75292,Business,3,0,Low,1
28,Mexico,UK,Bachelors,Unemployed,80185,Tourist,1,0,High,0
27,India,Australia,HighSchool,Employed,28207,Work,1,1,High,0
19,Brazil,Germany,Masters,Employed,36939,Study,1,0,High,1
22,Brazil,Canada,Masters,Employed,21890,Work,1,0,High,1
21,Mexico,Australia,Masters,Unemployed,19931,Tourist,3,0,Medium,0
37,India,UK,Masters,Employed,6779,Study,3,0,Low,0
24,Brazil,USA,HighSchool,Unemployed,27834,Study,2,0,Medium,0
22,Mexico,Canada,HighSchool,Employed,47784,Work,0,0,High,0
28,India,USA,Bachelors,Unemployed,25858,Work,3,0,High,0
18,Mexico,Germany,HighSchool,Employed,18255,Business,1,0,High,0
18,India,Germany,Bachelors,Unemployed,92250,Business,3,0,Low,1
32,Nigeria,USA,Masters,Employed,18062,Study,1,0,Medium,0
47,Brazil,USA,Masters,Unemployed,27727,Tourist,0,0,High,0
36,India,Germany,Bachelors,Employed,13023,Work,3,0,High,1
43,Mexico,Canada,Bachelors,Unemployed,15202,Work,2,0,High,0
37,Brazil,USA,Bachelors,Unemployed,10299,Tourist,2,0,Medium,0
32,India,Australia,HighSchool,Unemployed,82619,Study,1,0,High,0
36,Philippines,USA,Masters,Employed,71019,Tourist,3,0,Medium,1
25,Brazil,Australia,Bachelors,Employed,57483,Study,2,0,Medium,1
45,Nigeria,Canada,HighSchool,Unemployed,58484,Work,1,0,Low,0
44,Nigeria,UK,Bachelors,Unemployed,62730,Work,1,0,Medium,0
25,Nigeria,Canada,Masters,Unemployed,44075,Study,1,0,Low,0
30,Mexico,UK,HighSchool,Employed,48722,Tourist,0,0,High,0
29,Nigeria,USA,Bachelors,Employed,28927,Tourist,2,0,Medium,0
25,Nigeria,Germany,Bachelors,Employed,90365,Tourist,2,0,High,1
36,Brazil,USA,Masters,Unemployed,69468,Study,1,0,Low,0
18,Mexico,Canada,Bachelors,Employed,56039,Business,0,0,High,1
19,Philippines,UK,Masters,Employed,31137,Study,1,0,Medium,1
23,Philippines,UK,Masters,Unemployed,69328,Business,0,0,Medium,0
34,Mexico,Canada,Masters,Employed,94147,Business,3,0,Low,1
39,Philippines,Germany,Masters,Unemployed,38355,Work,0,0,High,0
47,India,Australia,HighSchool,Unemployed,89336,Study,0,0,Low,0
46,Philippines,USA,HighSchool,Unemployed,78666,Study,0,0,Medium,0
33,Mexico,UK,HighSchool,Unemployed,38821,Study,2,0,Low,0
30,India,Canada,Bachelors,Employed,32781,Tourist,2,0,High,1
22,Nigeria,USA,HighSchool,Employed,61052,Work,3,0,High,1
40,Mexico,Australia,Bachelors,Unemployed,25275,Study,0,0,High,0
34,India,Australia,Bachelors,Employed,40579,Study,1,1,Low,0
39,Nigeria,UK,Bachelors,Employed,29027,Tourist,3,0,High,1
39,Philippines,Canada,HighSchool,Unemployed,16614,Business,2,1,High,0
27,Philippines,UK,Bachelors,Unemployed,74608,Tourist,1,0,Medium,0
25,Philippines,Germany,Bachelors,Unemployed,57291,Study,2,0,Medium,1
46,India,UK,Masters,Unemployed,85041,Study,1,0,High,1
37,Brazil,Canada,HighSchool,Employed,53744,Business,0,0,Medium,0
26,Mexico,USA,HighSchool,Employed,47807,Study,2,0,Low,0
18,Philippines,USA,HighSchool,Employed,79478,Tourist,2,0,High,1
30,Mexico,Australia,Masters,Employed,74347,Business,1,1,Medium,0
34,India,Canada,Masters,Employed,39350,Tourist,2,0,High,1
32,Mexico,Australia,Bachelors,Employed,40967,Business,2,0,High,1
42,India,Australia,Masters,Employed,60335,Work,3,0,High,1
24,Nigeria,Canada,Bachelors,Employed,27114,Tourist,3,0,Medium,1
18,Philippines,Germany,Masters,Employed,10563,Tourist,1,0,Medium,0
19,Brazil,USA,Masters,Employed,59025,Work,0,0,Medium,1
48,Mexico,Germany,HighSchool,Employed,13948,Tourist,2,0,High,0
27,Brazil,Australia,Bachelors,Employed,27563,Tourist,2,0,Medium,0
21,Mexico,Australia,HighSchool,Employed,25857,Work,1,0,Low,0
36,Mexico,Australia,Bachelors,Employed,99575,Study,0,0,Low,0
31,Brazil,Australia,Bachelors,Employed,53559,Work,3,0,Low,1
29,Mexico,USA,Masters,Unemployed,71644,Tourist,3,0,Medium,1
35,Philippines,Germany,Bachelors,Unemployed,61437,Study,2,0,High,1
26,Brazil,Canada,Masters,Unemployed,83038,Business,0,0,Low,0
47,Mexico,Canada,Bachelors,Unemployed,28045,Tourist,3,0,Medium,0
23,India,Australia,Masters,Unemployed,76609,Work,0,0,Medium,0
26,Nigeria,UK,Masters,Unemployed,97787,Study,0,0,High,0
47,Mexico,USA,Masters,Unemployed,52729,Study,3,0,High,1
35,Mexico,Germany,Masters,Unemployed,15406,Study,3,0,Low,0
45,Philippines,USA,HighSchool,Employed,15283,Study,0,0,Low,0
34,Philippines,Australia,HighSchool,Unemployed,74099,Study,1,0,Low,0
34,Philippines,Canada,Bachelors,Unemployed,8714,Business,0,1,Medium,0
35,Philippines,Canada,Bachelors,Unemployed,86504,Business,0,0,Medium,0
45,Nigeria,Australia,HighSchool,Employed,44492,Study,3,0,Low,0
20,India,Germany,Bachelors,Unemployed,16961,Tourist,0,1,Low,0
46,Nigeria,Canada,Bachelors,Employed,61917,Tourist,0,1,Medium,0
47,Philippines,Germany,Masters,Employed,50687,Business,1,0,Medium,1
28,Philippines,USA,Masters,Employed,45704,Business,1,0,High,1
45,Brazil,USA,HighSchool,Unemployed,25853,Study,0,0,Low,0
29,Nigeria,Canada,Masters,Employed,34357,Study,2,0,Medium,1
23,Philippines,Australia,Masters,Unemployed,87282,Work,3,0,Low,1
26,India,USA,Bachelors,Employed,21376,Work,2,0,Medium,0
22,Philippines,USA,Bachelors,Unemployed,51462,Business,0,0,High,0
26,Brazil,Canada,Bachelors,Employed,11202,Work,0,0,Low,0
25,Philippines,USA,HighSchool,Employed,54937,Business,0,0,Low,0
27,Brazil,USA,Bachelors,Unemployed,29305,Business,1,0,Low,0
37,Mexico,UK,Bachelors,Employed,59159,Business,1,0,High,1
41,Philippines,USA,HighSchool,Employed,12341,Tourist,2,0,High,0
43,Philippines,Australia,Bachelors,Unemployed,74484,Work,3,0,Medium,1
37,Mexico,USA,Bachelors,Employed,93268,Study,2,0,Low,1
30,Mexico,Germany,Masters,Employed,15748,Business,0,0,Low,0
39,India,USA,Masters,Unemployed,95265,Work,2,0,Medium,1
47,Brazil,Canada,Bachelors,Employed,14005,Business,0,0,Medium,0
18,Philippines,Australia,Masters,Unemployed,79280,Business,2,0,High,1
26,Brazil,Australia,HighSchool,Unemployed,69907,Business,3,0,High,1
20,Mexico,USA,HighSchool,Employed,20693,Business,3,0,Low,0
24,Nigeria,Germany,HighSchool,Employed,68034,Tourist,0,0,Medium,0
18,Philippines,Germany,HighSchool,Employed,64369,Study,2,0,High,1
19,Philippines,UK,Bachelors,Employed,60128,Work,3,1,Medium,0
35,Philippines,Australia,Bachelors,Unemployed,90334,Business,1,0,Low,0
34,Nigeria,UK,Bachelors,Employed,37948,Study,2,0,Medium,1
48,Brazil,Germany,HighSchool,Employed,18192,Work,1,0,High,0
47,Nigeria,Germany,HighSchool,Unemployed,85542,Business,2,0,High,1
22,Mexico,USA,Masters,Employed,12132,Business,3,0,Low,0
39,Mexico,UK,Bachelors,Unemployed,35140,Study,2,0,High,0
38,Nigeria,Canada,Masters,Unemployed,99430,Work,1,0,High,1
23,Philippines,Germany,Masters,Employed,32801,Business,2,0,Medium,1
49,Brazil,USA,Bachelors,Unemployed,96766,Business,0,0,High,0
39,Nigeria,UK,HighSchool,Employed,27487,Business,2,0,High,0
35,Philippines,Canada,Masters,Unemployed,20413,Tourist,2,0,Low,0
23,Philippines,Germany,HighSchool,Employed,54563,Work,2,0,High,1
36,India,UK,Bachelors,Employed,71863,Tourist,2,0,Medium,1
36,India,Germany,Bachelors,Employed,31637,Business,2,0,Low,1
21,Brazil,USA,Bachelors,Employed,33448,Study,2,0,Medium,1
41,Nigeria,Germany,Bachelors,Unemployed,21583,Business,1,0,High,0
20,Mexico,Canada,Masters,Employed,82268,Business,3,0,Low,1
47,Mexico,Germany,HighSchool,Employed,35895,Business,3,1,Low,0
18,India,Germany,Masters,Employed,72537,Study,0,0,High,1
23,Nigeria,USA,Masters,Employed,31489,Tourist,1,0,High,1
49,Nigeria,Canada,Masters,Unemployed,56894,Work,1,0,Low,0
32,Philippines,Canada,Bachelors,Employed,16712,Tourist,0,0,Medium,0
27,Nigeria,Canada,Bachelors,Employed,37240,Work,0,1,High,0
40,India,Australia,HighSchool,Employed,86804,Business,2,1,Low,0
32,Philippines,Germany,HighSchool,Unemployed,66848,Tourist,1,0,Medium,0
38,India,Canada,Bachelors,Unemployed,68509,Business,2,0,High,1
36,India,USA,Masters,Employed,56141,Study,2,0,Medium,1
26,Philippines,USA,Bachelors,Unemployed,61580,Tourist,3,0,Medium,1
41,Nigeria,Canada,Masters,Unemployed,96984,Work,2,1,Medium,0
28,Brazil,Australia,Masters,Unemployed,26305,Study,0,1,Low,0
45,Mexico,Germany,Masters,Unemployed,69074,Business,3,0,High,1
44,Philippines,UK,HighSchool,Unemployed,52667,Study,2,0,Low,0
40,Brazil,USA,Masters,Employed,43571,Study,0,0,High,1
41,India,USA,Bachelors,Unemployed,90312,Work,0,0,Low,0
26,Brazil,Canada,HighSchool,Employed,27325,Study,3,1,Low,0
22,Mexico,UK,Bachelors,Employed,66503,Work,0,1,Medium,0
25,Nigeria,UK,HighSchool,Employed,76645,Work,0,0,Medium,0
30,India,Germany,Bachelors,Employed,59252,Tourist,3,0,Medium,1
22,Mexico,Australia,Bachelors,Employed,95376,Work,2,0,Medium,1
44,India,USA,Masters,Unemployed,57884,Study,2,0,High,1
38,Nigeria,Australia,Bachelors,Employed,78879,Tourist,3,0,High,1
44,India,Canada,Masters,Employed,96874,Work,0,0,Low,1
29,India,UK,Bachelors,Employed,98289,Business,3,0,High,1
39,Philippines,Canada,HighSchool,Unemployed,50982,Tourist,0,0,High,0
23,Brazil,USA,HighSchool,Unemployed,7737,Study,3,0,Low,0
44,Brazil,Australia,Masters,Unemployed,42125,Business,1,0,Medium,0
19,Mexico,Canada,Masters,Unemployed,50538,Tourist,2,0,High,1
29,Philippines,USA,HighSchool,Unemployed,5161,Business,3,0,Low,0
21,India,Australia,Bachelors,Employed,22515,Study,0,0,Medium,0
48,Philippines,Australia,HighSchool,Employed,65633,Work,1,0,Low,0
21,Brazil,UK,Bachelors,Unemployed,21464,Tourist,2,0,High,0
30,Philippines,UK,Bachelors,Unemployed,27294,Study,3,1,Low,0
21,Nigeria,Canada,Masters,Employed,11649,Tourist,1,0,Low,0
27,Brazil,Germany,Masters,Unemployed,51086,Work,0,0,Low,0
49,Philippines,UK,HighSchool,Unemployed,80143,Work,0,0,Medium,0
19,India,Australia,Masters,Employed,45591,Study,1,0,Medium,1
47,Philippines,USA,HighSchool,Employed,32565,Business,2,0,High,1
